"ID";"EigenaarBewoner";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"GemiddeldeHypotheekschuldEigenWoning_2";"GemiddeldeWaardeEigenWoning_3";"GemiddeldBrutoInkomen_4";"GemiddeldBesteedbaarInkomen_5";"HypotheekschuldWoningwaarde_6";"HypotheekschuldBrutoInkomen_7";"HypotheekschuldBesteedbaarInkomen_8";"GeenSchuld_9";"k_0Tot07_10";"k_07Tot08_11";"k_08Tot09_12";"k_09Tot10_13";"k_1OfHoger_14";"GeenSchuld_15";"k_0Tot2_16";"k_2Tot4_17";"k_4OfHoger_18";"GeenSchuld_19";"k_0Tot35_20";"k_35Tot7_21";"k_7OfHoger_22"
"0";"T001628";"1050010";"2006JJ00";"  3764.0";"   128.0";"   274.1";"       .";"       .";"    0.45";"       .";"       .";"   529.3";"  2019.8";"   222.5";"   219.5";"   246.5";"   526.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1";"T001628";"1050010";"2007JJ00";"  3841.5";"   136.4";"   291.5";"       .";"       .";"    0.46";"       .";"       .";"   533.2";"  2041.0";"   239.8";"   256.1";"   293.0";"   478.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2";"T001628";"1050010";"2008JJ00";"  3932.9";"   144.5";"   303.8";"       .";"       .";"    0.48";"       .";"       .";"   546.5";"  2044.3";"   256.4";"   279.5";"   319.9";"   486.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"3";"T001628";"1050010";"2009JJ00";"  4084.4";"   147.6";"   301.5";"       .";"       .";"    0.49";"       .";"       .";"   665.9";"  1943.1";"   256.3";"   272.1";"   306.1";"   640.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"4";"T001628";"1050010";"2010JJ00";"  4134.1";"   151.0";"   282.3";"       .";"       .";"    0.55";"       .";"       .";"   678.7";"  1781.4";"   246.0";"   251.4";"   271.3";"   905.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"5";"T001628";"1050010";"2011JJ00";"  4160.8";"   154.4";"   283.8";"    79.6";"    47.0";"    0.56";"     1.9";"     3.1";"   656.4";"  1791.6";"   255.5";"   264.8";"   285.6";"   906.9";"   656.4";"  1560.8";"  1438.3";"   505.4";"   656.4";"  1633.8";"  1446.2";"   424.4"
"6";"T001628";"1050010";"2012JJ00";"  4195.2";"   158.5";"   270.7";"    80.7";"    47.3";"    0.61";"     1.9";"     3.2";"   629.8";"  1685.0";"   250.2";"   256.1";"   275.0";"  1099.2";"   629.8";"  1567.9";"  1478.8";"   518.8";"   629.8";"  1620.1";"  1506.9";"   438.5"
"7";"T001628";"1050010";"2013JJ00";"  4226.7";"   159.0";"   243.3";"    81.7";"    47.7";"    0.69";"     1.9";"     3.2";"   628.7";"  1499.5";"   229.8";"   231.2";"   240.8";"  1396.6";"   628.7";"  1586.9";"  1501.3";"   509.7";"   628.7";"  1642.0";"  1540.1";"   415.8"
"8";"T001628";"1050010";"2014JJ00";"  4254.4";"   156.5";"   242.2";"    85.4";"    50.6";"    0.69";"     1.8";"     3.1";"   667.5";"  1480.1";"   233.2";"   236.9";"   251.0";"  1385.8";"   667.5";"  1634.0";"  1491.8";"   461.2";"   667.5";"  1711.8";"  1523.2";"   351.9"
"9";"T001628";"1050010";"2015JJ00";"  4287.0";"   153.5";"   247.8";"    83.2";"    49.8";"    0.66";"     1.8";"     3.0";"   724.9";"  1505.2";"   244.5";"   253.8";"   275.3";"  1283.3";"   724.9";"  1617.6";"  1497.7";"   446.8";"   724.9";"  1735.8";"  1499.4";"   326.8"
"10";"T001628";"1050010";"2016JJ00";"  4327.4";"   153.8";"   257.5";"    85.8";"    52.0";"    0.64";"     1.8";"     2.9";"   719.5";"  1587.3";"   265.4";"   284.5";"   338.7";"  1132.0";"   719.5";"  1697.5";"  1499.9";"   410.5";"   719.5";"  1854.6";"  1469.0";"   284.4"
"11";"T001628";"1050010";"2017JJ00";"  4369.3";"   154.5";"   274.9";"    90.1";"    54.0";"    0.61";"     1.7";"     2.9";"   731.3";"  1707.8";"   305.5";"   345.1";"   428.3";"   851.3";"   731.3";"  1779.5";"  1489.2";"   369.3";"   731.3";"  1927.6";"  1453.6";"   256.8"
"12";"T001628";"1050010";"2018JJ00";"  4415.7";"   156.4";"   297.3";"    92.0";"    55.2";"    0.57";"     1.7";"     2.8";"   746.7";"  1876.3";"   366.7";"   430.3";"   410.5";"   585.3";"   746.7";"  1845.4";"  1474.5";"   349.2";"   746.7";"  1994.7";"  1431.7";"   242.7"
"13";"T001628";"1050010";"2019JJ00";"  4456.2";"   158.8";"   323.6";"    98.5";"    59.8";"    0.53";"     1.6";"     2.7";"   751.2";"  2124.0";"   440.1";"   440.5";"   322.6";"   377.8";"   751.2";"  1964.2";"  1416.2";"   324.7";"   751.2";"  2129.5";"  1354.1";"   221.4"
"14";"T001628";"1050010";"2020JJ00";"  4487.2";"   159.3";"   345.7";"    99.2";"    60.3";"    0.49";"     1.6";"     2.6";"   773.4";"  2339.4";"   457.1";"   390.8";"   256.4";"   270.0";"   773.4";"  2026.3";"  1369.7";"   317.8";"   773.4";"  2222.6";"  1278.8";"   212.4"
"15";"T001628";"1050010";"2021JJ00";"  4502.1";"   162.8";"   380.9";"   102.8";"    62.8";"    0.45";"     1.6";"     2.5";"   767.5";"  2659.9";"   427.9";"   305.7";"   166.2";"   174.9";"   767.5";"  2067.6";"  1352.5";"   314.6";"   767.5";"  2290.8";"  1234.3";"   209.6"
"16";"T001628";"1050015";"2006JJ00";"   724.4";"    91.1";"   232.3";"       .";"       .";"    0.37";"       .";"       .";"   179.8";"   313.5";"    36.8";"    39.9";"    49.1";"   105.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"17";"T001628";"1050015";"2007JJ00";"   754.7";"    97.3";"   247.6";"       .";"       .";"    0.39";"       .";"       .";"   181.3";"   326.1";"    41.1";"    49.3";"    61.4";"    95.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18";"T001628";"1050015";"2008JJ00";"   788.8";"   103.2";"   256.8";"       .";"       .";"    0.41";"       .";"       .";"   186.4";"   335.0";"    45.1";"    54.8";"    68.5";"    99.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"19";"T001628";"1050015";"2009JJ00";"   846.9";"   103.1";"   254.0";"       .";"       .";"    0.40";"       .";"       .";"   226.6";"   326.5";"    44.6";"    52.2";"    63.8";"   133.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"20";"T001628";"1050015";"2010JJ00";"   863.5";"   103.6";"   239.0";"       .";"       .";"    0.43";"       .";"       .";"   232.9";"   307.8";"    41.2";"    45.3";"    52.4";"   184.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"21";"T001628";"1050015";"2011JJ00";"   877.3";"   105.9";"   242.0";"    47.8";"    29.2";"    0.44";"     2.1";"     3.4";"   224.3";"   327.5";"    43.7";"    48.5";"    55.1";"   178.3";"   224.3";"   207.0";"   287.4";"   158.7";"   224.3";"   224.7";"   281.7";"   146.6"
"22";"T001628";"1050015";"2012JJ00";"   895.6";"   108.8";"   231.1";"    48.7";"    29.6";"    0.49";"     2.1";"     3.5";"   218.4";"   320.1";"    43.4";"    47.4";"    52.9";"   213.5";"   218.4";"   212.6";"   302.7";"   162.0";"   218.4";"   228.4";"   299.1";"   149.7"
"23";"T001628";"1050015";"2013JJ00";"   911.0";"   108.7";"   208.0";"    49.2";"    30.0";"    0.55";"     2.1";"     3.5";"   219.8";"   296.2";"    40.8";"    41.7";"    45.3";"   267.1";"   219.8";"   218.7";"   312.8";"   159.6";"   219.8";"   236.3";"   316.6";"   138.3"
"24";"T001628";"1050015";"2014JJ00";"   925.8";"   106.1";"   207.6";"    51.0";"    31.5";"    0.54";"     2.0";"     3.3";"   231.3";"   300.7";"    42.8";"    43.9";"    47.9";"   259.2";"   231.3";"   229.5";"   316.7";"   148.4";"   231.3";"   249.8";"   325.0";"   119.7"
"25";"T001628";"1050015";"2015JJ00";"   942.5";"   102.6";"   212.3";"    50.1";"    31.3";"    0.50";"     2.0";"     3.1";"   253.1";"   308.0";"    46.2";"    48.4";"    53.1";"   233.7";"   253.1";"   226.4";"   318.8";"   144.2";"   253.1";"   253.1";"   327.3";"   109.1"
"26";"T001628";"1050015";"2016JJ00";"   961.9";"   102.8";"   221.1";"    51.2";"    32.2";"    0.49";"     1.9";"     3.1";"   252.5";"   333.6";"    51.6";"    55.3";"    66.6";"   202.2";"   252.5";"   243.0";"   328.9";"   137.5";"   252.5";"   273.6";"   337.7";"    98.1"
"27";"T001628";"1050015";"2017JJ00";"   979.4";"   102.4";"   236.3";"    53.2";"    33.1";"    0.46";"     1.9";"     3.0";"   257.2";"   367.2";"    60.1";"    66.8";"    83.9";"   144.2";"   257.2";"   258.5";"   335.5";"   128.2";"   257.2";"   288.7";"   343.5";"    90.0"
"28";"T001628";"1050015";"2018JJ00";"   996.1";"   102.5";"   255.8";"    53.9";"    33.7";"    0.43";"     1.8";"     2.9";"   262.9";"   411.2";"    71.0";"    81.7";"    75.4";"    93.9";"   262.9";"   271.8";"   340.0";"   121.5";"   262.9";"   303.6";"   346.4";"    83.3"
"29";"T001628";"1050015";"2019JJ00";"  1013.7";"   103.4";"   279.2";"    56.9";"    35.9";"    0.39";"     1.8";"     2.8";"   267.3";"   473.0";"    83.4";"    78.7";"    54.7";"    56.6";"   267.3";"   295.2";"   335.7";"   115.4";"   267.3";"   331.3";"   338.6";"    76.5"
"30";"T001628";"1050015";"2020JJ00";"  1025.5";"   103.5";"   299.4";"    57.3";"    36.3";"    0.36";"     1.7";"     2.7";"   274.3";"   524.2";"    81.7";"    64.9";"    41.7";"    38.8";"   274.3";"   310.0";"   327.5";"   113.7";"   274.3";"   352.3";"   325.7";"    73.2"
"31";"T001628";"1050015";"2021JJ00";"  1032.1";"   105.1";"   326.9";"    59.1";"    37.6";"    0.33";"     1.7";"     2.6";"   273.0";"   587.3";"    70.6";"    48.9";"    27.0";"    25.2";"   273.0";"   323.0";"   324.5";"   111.6";"   273.0";"   373.5";"   315.2";"    70.4"
"32";"T001628";"1016010";"2006JJ00";"  3039.5";"   136.8";"   284.1";"       .";"       .";"    0.46";"       .";"       .";"   349.5";"  1706.2";"   185.8";"   179.6";"   197.5";"   420.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"33";"T001628";"1016010";"2007JJ00";"  3086.8";"   145.9";"   302.2";"       .";"       .";"    0.47";"       .";"       .";"   351.9";"  1714.9";"   198.7";"   206.8";"   231.6";"   382.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"34";"T001628";"1016010";"2008JJ00";"  3144.1";"   154.8";"   315.6";"       .";"       .";"    0.49";"       .";"       .";"   360.1";"  1709.3";"   211.4";"   224.7";"   251.4";"   387.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"35";"T001628";"1016010";"2009JJ00";"  3237.4";"   159.3";"   314.0";"       .";"       .";"    0.51";"       .";"       .";"   439.3";"  1616.6";"   211.6";"   219.9";"   242.3";"   507.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"36";"T001628";"1016010";"2010JJ00";"  3270.6";"   163.5";"   293.8";"       .";"       .";"    0.57";"       .";"       .";"   445.9";"  1473.7";"   204.8";"   206.1";"   218.9";"   721.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"37";"T001628";"1016010";"2011JJ00";"  3283.6";"   167.4";"   295.0";"    88.1";"    51.7";"    0.58";"     1.8";"     3.1";"   432.2";"  1464.1";"   211.9";"   216.3";"   230.6";"   728.6";"   432.2";"  1353.8";"  1150.9";"   346.7";"   432.2";"  1409.1";"  1164.5";"   277.7"
"38";"T001628";"1016010";"2012JJ00";"  3299.7";"   172.0";"   281.5";"    89.4";"    52.1";"    0.64";"     1.9";"     3.2";"   411.4";"  1364.9";"   206.8";"   208.7";"   222.1";"   885.7";"   411.4";"  1355.3";"  1176.1";"   356.8";"   411.4";"  1391.7";"  1207.7";"   288.8"
"39";"T001628";"1016010";"2013JJ00";"  3315.7";"   172.8";"   253.0";"    90.6";"    52.5";"    0.72";"     1.9";"     3.2";"   408.9";"  1203.3";"   188.9";"   189.6";"   195.4";"  1129.5";"   408.9";"  1368.2";"  1188.5";"   350.1";"   408.9";"  1405.7";"  1223.5";"   277.5"
"40";"T001628";"1016010";"2014JJ00";"  3328.6";"   170.6";"   251.8";"    95.0";"    56.0";"    0.73";"     1.8";"     3.1";"   436.2";"  1179.4";"   190.4";"   193.0";"   203.1";"  1126.6";"   436.2";"  1404.5";"  1175.1";"   312.9";"   436.2";"  1462.0";"  1198.2";"   232.3"
"41";"T001628";"1016010";"2015JJ00";"  3344.4";"   167.8";"   257.7";"    92.6";"    55.0";"    0.70";"     1.8";"     3.0";"   471.8";"  1197.2";"   198.3";"   205.4";"   222.3";"  1049.6";"   471.8";"  1391.1";"  1178.9";"   302.6";"   471.8";"  1482.8";"  1172.1";"   217.7"
"42";"T001628";"1016010";"2016JJ00";"  3365.4";"   168.4";"   267.9";"    95.7";"    57.6";"    0.68";"     1.8";"     2.9";"   467.0";"  1253.7";"   213.7";"   229.2";"   272.1";"   929.7";"   467.0";"  1454.5";"  1171.0";"   273.0";"   467.0";"  1581.0";"  1131.2";"   186.3"
"43";"T001628";"1016010";"2017JJ00";"  3389.9";"   169.6";"   286.0";"   100.7";"    60.0";"    0.65";"     1.7";"     2.8";"   474.2";"  1340.6";"   245.4";"   278.4";"   344.4";"   707.1";"   474.2";"  1521.0";"  1153.6";"   241.1";"   474.2";"  1638.9";"  1110.0";"   166.8"
"44";"T001628";"1016010";"2018JJ00";"  3419.6";"   172.1";"   309.4";"   103.1";"    61.5";"    0.61";"     1.7";"     2.8";"   483.8";"  1465.1";"   295.6";"   348.6";"   335.2";"   491.4";"   483.8";"  1573.6";"  1134.5";"   227.7";"   483.8";"  1691.1";"  1085.4";"   159.3"
"45";"T001628";"1016010";"2019JJ00";"  3442.6";"   175.1";"   336.6";"   110.8";"    66.8";"    0.57";"     1.6";"     2.7";"   483.9";"  1651.0";"   356.7";"   361.8";"   267.9";"   321.2";"   483.9";"  1668.9";"  1080.5";"   209.3";"   483.9";"  1798.2";"  1015.5";"   144.9"
"46";"T001628";"1016010";"2020JJ00";"  3461.7";"   175.9";"   359.4";"   111.6";"    67.4";"    0.53";"     1.6";"     2.6";"   499.2";"  1815.2";"   375.4";"   325.9";"   214.8";"   231.2";"   499.2";"  1716.3";"  1042.2";"   204.1";"   499.2";"  1870.2";"   953.2";"   139.2"
"47";"T001628";"1016010";"2021JJ00";"  3470.0";"   179.9";"   397.0";"   115.8";"    70.3";"    0.48";"     1.6";"     2.5";"   494.4";"  2072.6";"   357.3";"   256.8";"   139.2";"   149.7";"   494.4";"  1744.6";"  1027.9";"   203.0";"   494.4";"  1917.3";"   919.0";"   139.2"
"48";"T001628";"1050190";"2006JJ00";"   133.8";"   113.6";"   264.8";"       .";"       .";"    0.44";"       .";"       .";"    21.9";"    73.1";"     8.8";"     7.7";"     7.4";"    14.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"49";"T001628";"1050190";"2007JJ00";"   140.4";"   123.1";"   281.4";"       .";"       .";"    0.47";"       .";"       .";"    20.9";"    77.3";"    10.1";"     9.4";"     9.1";"    13.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"50";"T001628";"1050190";"2008JJ00";"   148.4";"   132.7";"   292.3";"       .";"       .";"    0.50";"       .";"       .";"    21.1";"    80.2";"    11.5";"    10.6";"    10.4";"    14.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"51";"T001628";"1050190";"2009JJ00";"   159.8";"   135.4";"   289.8";"       .";"       .";"    0.52";"       .";"       .";"    26.7";"    78.4";"    12.4";"    11.4";"    11.2";"    19.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"52";"T001628";"1050190";"2010JJ00";"   172.6";"   140.8";"   272.2";"       .";"       .";"    0.57";"       .";"       .";"    29.0";"    75.0";"    13.6";"    12.4";"    11.8";"    30.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"53";"T001628";"1050190";"2011JJ00";"   171.3";"   145.9";"   268.3";"    62.4";"    38.6";"    0.59";"     2.3";"     3.7";"    26.4";"    74.9";"    14.0";"    13.2";"    12.2";"    30.6";"    26.4";"    48.9";"    58.3";"    37.7";"    26.4";"    55.3";"    61.6";"    28.0"
"54";"T001628";"1050190";"2012JJ00";"   179.8";"   152.8";"   256.8";"    63.7";"    38.9";"    0.65";"     2.4";"     3.9";"    25.2";"    71.7";"    14.6";"    14.0";"    13.4";"    40.8";"    25.2";"    50.2";"    63.7";"    40.7";"    25.2";"    55.6";"    67.3";"    31.7"
"55";"T001628";"1050190";"2013JJ00";"   187.0";"   156.1";"   231.1";"    64.2";"    39.0";"    0.74";"     2.4";"     3.9";"    24.1";"    63.6";"    13.8";"    13.8";"    13.5";"    58.2";"    24.1";"    52.5";"    68.3";"    42.1";"    24.1";"    58.6";"    71.8";"    32.5"
"56";"T001628";"1050190";"2014JJ00";"   194.0";"   154.5";"   229.9";"    66.7";"    40.9";"    0.74";"     2.4";"     3.8";"    26.0";"    64.8";"    14.3";"    14.5";"    14.3";"    60.2";"    26.0";"    55.9";"    71.8";"    40.3";"    26.0";"    62.9";"    74.6";"    30.5"
"57";"T001628";"1050190";"2015JJ00";"   196.5";"   150.8";"   234.4";"    67.1";"    41.2";"    0.71";"     2.2";"     3.6";"    28.7";"    68.3";"    14.8";"    14.8";"    14.8";"    55.1";"    28.7";"    58.5";"    74.1";"    35.2";"    28.7";"    66.7";"    74.7";"    26.3"
"58";"T001628";"1050190";"2016JJ00";"   203.1";"   152.2";"   243.7";"    69.5";"    43.1";"    0.69";"     2.2";"     3.5";"    27.9";"    75.0";"    16.0";"    16.2";"    17.2";"    50.9";"    27.9";"    64.2";"    76.7";"    34.3";"    27.9";"    74.9";"    76.1";"    24.2"
"59";"T001628";"1050190";"2017JJ00";"   204.7";"   151.7";"   258.5";"    73.1";"    44.9";"    0.66";"     2.1";"     3.4";"    28.2";"    81.7";"    17.5";"    18.3";"    20.5";"    38.5";"    28.2";"    69.2";"    77.3";"    30.1";"    28.2";"    79.5";"    75.8";"    21.2"
"60";"T001628";"1050190";"2018JJ00";"   210.1";"   154.2";"   279.1";"    75.6";"    46.4";"    0.62";"     2.0";"     3.3";"    28.6";"    92.3";"    20.3";"    22.0";"    19.6";"    27.4";"    28.6";"    74.1";"    79.1";"    28.4";"    28.6";"    84.9";"    77.0";"    19.7"
"61";"T001628";"1050190";"2019JJ00";"   216.3";"   156.5";"   303.9";"    80.8";"    49.9";"    0.57";"     2.0";"     3.1";"    28.6";"   108.5";"    23.8";"    22.1";"    15.2";"    18.0";"    28.6";"    82.2";"    79.0";"    26.5";"    28.6";"    94.1";"    75.3";"    18.3"
"62";"T001628";"1050190";"2020JJ00";"   220.3";"   157.7";"   324.9";"    82.8";"    51.2";"    0.54";"     1.9";"     3.0";"    29.4";"   122.0";"    24.6";"    19.4";"    11.8";"    13.0";"    29.4";"    87.3";"    77.6";"    25.9";"    29.4";"   100.2";"    73.1";"    17.5"
"63";"T001628";"1050190";"2021JJ00";"   220.8";"   162.0";"   352.8";"    86.6";"    53.8";"    0.50";"     1.9";"     3.0";"    27.7";"   139.5";"    22.6";"    14.6";"     7.3";"     9.2";"    27.7";"    90.7";"    77.1";"    25.3";"    27.7";"   105.2";"    70.7";"    17.2"
"64";"T001628";"1050055";"2006JJ00";"  2785.4";"   137.2";"   283.1";"       .";"       .";"    0.46";"       .";"       .";"   310.3";"  1574.6";"   169.6";"   164.5";"   181.3";"   385.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"65";"T001628";"1050055";"2007JJ00";"  2823.0";"   146.3";"   301.2";"       .";"       .";"    0.47";"       .";"       .";"   314.0";"  1578.1";"   180.5";"   188.5";"   211.9";"   350.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"66";"T001628";"1050055";"2008JJ00";"  2868.5";"   155.1";"   314.4";"       .";"       .";"    0.48";"       .";"       .";"   322.4";"  1568.3";"   191.3";"   204.2";"   229.2";"   353.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"67";"T001628";"1050055";"2009JJ00";"  2944.0";"   159.8";"   313.0";"       .";"       .";"    0.51";"       .";"       .";"   391.1";"  1480.3";"   190.8";"   199.2";"   220.3";"   462.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"68";"T001628";"1050055";"2010JJ00";"  3020.1";"   164.5";"   293.0";"       .";"       .";"    0.57";"       .";"       .";"   402.5";"  1364.7";"   186.9";"   189.4";"   202.6";"   674.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"69";"T001628";"1050055";"2011JJ00";"  3026.2";"   168.3";"   296.3";"    89.3";"    52.2";"    0.58";"     1.8";"     3.1";"   391.0";"  1355.4";"   193.0";"   198.1";"   213.2";"   675.5";"   391.0";"  1267.7";"  1068.6";"   298.8";"   391.0";"  1313.3";"  1081.0";"   240.9"
"70";"T001628";"1050055";"2012JJ00";"  3035.6";"   172.8";"   282.7";"    90.7";"    52.6";"    0.64";"     1.8";"     3.2";"   372.6";"  1262.5";"   187.5";"   190.0";"   203.8";"   819.2";"   372.6";"  1269.2";"  1088.4";"   305.4";"   372.6";"  1297.2";"  1118.1";"   247.7"
"71";"T001628";"1050055";"2013JJ00";"  3045.4";"   173.5";"   254.2";"    92.0";"    53.1";"    0.72";"     1.8";"     3.2";"   371.9";"  1112.9";"   170.8";"   171.5";"   177.6";"  1040.7";"   371.9";"  1279.6";"  1096.3";"   297.6";"   371.9";"  1307.9";"  1129.5";"   236.1"
"72";"T001628";"1050055";"2014JJ00";"  3052.3";"   171.2";"   253.0";"    96.5";"    56.7";"    0.72";"     1.8";"     3.0";"   396.9";"  1088.3";"   171.8";"   174.1";"   184.3";"  1036.8";"   396.9";"  1311.8";"  1080.3";"   263.3";"   396.9";"  1358.8";"  1102.6";"   194.0"
"73";"T001628";"1050055";"2015JJ00";"  3063.5";"   168.4";"   259.0";"    93.9";"    55.7";"    0.70";"     1.8";"     3.0";"   429.2";"  1102.0";"   179.0";"   186.0";"   202.5";"   964.9";"   429.2";"  1295.3";"  1081.3";"   257.7";"   429.2";"  1374.5";"  1076.3";"   183.5"
"74";"T001628";"1050055";"2016JJ00";"  3077.4";"   168.8";"   269.3";"    97.1";"    58.3";"    0.68";"     1.7";"     2.9";"   425.7";"  1150.9";"   192.8";"   207.9";"   248.9";"   851.2";"   425.7";"  1350.9";"  1070.8";"   230.0";"   425.7";"  1462.0";"  1034.8";"   154.9"
"75";"T001628";"1050055";"2017JJ00";"  3096.1";"   169.9";"   287.6";"   102.1";"    60.7";"    0.65";"     1.7";"     2.8";"   432.4";"  1228.1";"   222.1";"   253.6";"   316.4";"   643.5";"   432.4";"  1408.8";"  1052.6";"   202.3";"   432.4";"  1512.0";"  1013.5";"   138.3"
"76";"T001628";"1050055";"2018JJ00";"  3118.5";"   172.3";"   311.3";"   104.4";"    62.1";"    0.61";"     1.7";"     2.8";"   441.5";"  1338.8";"   268.5";"   318.9";"   308.4";"   442.5";"   441.5";"  1454.5";"  1031.6";"   190.9";"   441.5";"  1556.9";"   987.5";"   132.5"
"77";"T001628";"1050055";"2019JJ00";"  3135.5";"   175.4";"   338.7";"   112.3";"    67.6";"    0.56";"     1.6";"     2.6";"   442.0";"  1504.6";"   324.8";"   331.8";"   246.6";"   285.7";"   442.0";"  1540.1";"   978.6";"   174.7";"   442.0";"  1653.2";"   920.3";"   119.9"
"78";"T001628";"1050055";"2020JJ00";"  3150.6";"   176.1";"   361.6";"   113.1";"    68.2";"    0.53";"     1.6";"     2.6";"   456.3";"  1650.8";"   342.4";"   299.6";"   197.7";"   203.8";"   456.3";"  1581.1";"   942.7";"   170.5";"   456.3";"  1717.4";"   861.5";"   115.4"
"79";"T001628";"1050055";"2021JJ00";"  3158.9";"   180.0";"   399.8";"   117.2";"    70.9";"    0.48";"     1.5";"     2.5";"   453.8";"  1885.1";"   326.9";"   236.3";"   128.2";"   128.5";"   453.8";"  1605.6";"   929.5";"   170.0";"   453.8";"  1758.9";"   830.4";"   115.8"
"80";"T001628";"1017780";"2006JJ00";"  1271.4";"   113.9";"   282.5";"       .";"       .";"    0.35";"       .";"       .";"   223.7";"   693.1";"    55.1";"    57.5";"    73.7";"   168.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"81";"T001628";"1017780";"2007JJ00";"  1302.6";"   119.7";"   299.9";"       .";"       .";"    0.35";"       .";"       .";"   230.4";"   710.7";"    58.4";"    65.8";"    86.7";"   150.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"82";"T001628";"1017780";"2008JJ00";"  1332.8";"   124.8";"   312.2";"       .";"       .";"    0.35";"       .";"       .";"   239.9";"   721.1";"    61.3";"    69.3";"    91.5";"   149.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"83";"T001628";"1017780";"2009JJ00";"  1378.3";"   126.4";"   309.9";"       .";"       .";"    0.35";"       .";"       .";"   281.0";"   701.4";"    60.3";"    63.7";"    77.7";"   194.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"84";"T001628";"1017780";"2010JJ00";"  1407.6";"   128.7";"   290.3";"       .";"       .";"    0.39";"       .";"       .";"   289.4";"   672.7";"    60.9";"    59.2";"    63.5";"   261.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"85";"T001628";"1017780";"2011JJ00";"  1415.4";"   130.2";"   293.3";"    76.3";"    46.4";"    0.39";"     1.5";"     2.4";"   282.3";"   689.9";"    64.0";"    61.7";"    66.2";"   251.4";"   282.3";"   582.6";"   430.0";"   120.6";"   282.3";"   624.4";"   416.7";"    92.1"
"86";"T001628";"1017780";"2012JJ00";"  1422.3";"   132.0";"   280.1";"    77.3";"    46.9";"    0.42";"     1.6";"     2.5";"   277.9";"   667.6";"    66.2";"    61.6";"    63.7";"   285.5";"   277.9";"   588.1";"   433.7";"   122.7";"   277.9";"   626.3";"   425.6";"    92.6"
"87";"T001628";"1017780";"2013JJ00";"  1432.9";"   130.9";"   251.9";"    78.0";"    47.1";"    0.47";"     1.5";"     2.5";"   281.4";"   620.7";"    67.4";"    60.8";"    58.5";"   344.1";"   281.4";"   598.6";"   432.0";"   120.9";"   281.4";"   638.8";"   424.8";"    87.8"
"88";"T001628";"1017780";"2014JJ00";"  1445.0";"   128.0";"   251.1";"    81.7";"    50.2";"    0.47";"     1.5";"     2.3";"   299.1";"   617.5";"    69.5";"    63.8";"    62.6";"   332.5";"   299.1";"   615.2";"   419.6";"   111.2";"   299.1";"   664.8";"   407.1";"    74.0"
"89";"T001628";"1017780";"2015JJ00";"  1459.6";"   124.8";"   257.0";"    78.7";"    48.7";"    0.45";"     1.4";"     2.3";"   323.4";"   624.9";"    72.6";"    68.6";"    70.0";"   300.0";"   323.4";"   609.1";"   415.3";"   111.8";"   323.4";"   670.9";"   393.3";"    71.9"
"90";"T001628";"1017780";"2016JJ00";"  1477.2";"   124.6";"   266.4";"    80.8";"    50.4";"    0.43";"     1.4";"     2.2";"   324.4";"   654.1";"    77.4";"    76.5";"    88.5";"   256.4";"   324.4";"   635.7";"   412.2";"   105.0";"   324.4";"   708.4";"   380.1";"    64.3"
