"ID";"EigenaarBewoner";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"GemiddeldeHypotheekschuldEigenWoning_2";"GemiddeldeWaardeEigenWoning_3";"GemiddeldBrutoInkomen_4";"GemiddeldBesteedbaarInkomen_5";"HypotheekschuldWoningwaarde_6";"HypotheekschuldBrutoInkomen_7";"HypotheekschuldBesteedbaarInkomen_8";"GeenSchuld_9";"k_0Tot07_10";"k_07Tot08_11";"k_08Tot09_12";"k_09Tot10_13";"k_1OfHoger_14";"GeenSchuld_15";"k_0Tot2_16";"k_2Tot4_17";"k_4OfHoger_18";"GeenSchuld_19";"k_0Tot35_20";"k_35Tot7_21";"k_7OfHoger_22"
"1344";"A050412";"1013800";"2006JJ00";"    85.2";"    92.4";"   246.5";"       .";"       .";"    0.34";"       .";"       .";"     0.0";"    70.3";"     4.0";"     3.1";"     2.6";"     5.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1345";"A050412";"1013800";"2007JJ00";"    78.1";"    96.8";"   257.0";"       .";"       .";"    0.34";"       .";"       .";"     0.0";"    64.7";"     3.8";"     3.1";"     2.5";"     3.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1346";"A050412";"1013800";"2008JJ00";"    72.7";"   100.8";"   266.1";"       .";"       .";"    0.35";"       .";"       .";"     0.0";"    60.2";"     3.7";"     2.9";"     2.4";"     3.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1347";"A050412";"1013800";"2009JJ00";"    71.7";"   106.5";"   261.8";"       .";"       .";"    0.38";"       .";"       .";"     0.0";"    57.2";"     4.1";"     3.2";"     2.7";"     4.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1348";"A050412";"1013800";"2010JJ00";"    69.7";"   112.0";"   240.5";"       .";"       .";"    0.44";"       .";"       .";"     0.0";"    51.0";"     4.5";"     3.6";"     3.1";"     7.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1349";"A050412";"1013800";"2011JJ00";"    70.1";"   120.0";"   234.9";"    45.7";"    29.8";"    0.50";"     2.4";"     3.6";"     0.0";"    47.6";"     4.9";"     4.2";"     3.8";"     9.6";"     0.0";"    29.4";"    24.0";"    16.6";"     0.0";"    34.4";"    23.9";"    11.8"
"1350";"A050412";"1013800";"2012JJ00";"    71.8";"   126.2";"   221.7";"    46.3";"    30.1";"    0.57";"     2.5";"     3.8";"     0.0";"    44.1";"     5.4";"     4.7";"     4.3";"    13.3";"     0.0";"    28.3";"    25.1";"    18.4";"     0.0";"    33.1";"    25.4";"    13.2"
"1351";"A050412";"1013800";"2013JJ00";"    73.7";"   130.5";"   198.7";"    47.5";"    30.7";"    0.66";"     2.5";"     3.9";"     0.0";"    39.0";"     5.5";"     5.1";"     4.5";"    19.6";"     0.0";"    28.2";"    26.2";"    19.3";"     0.0";"    33.0";"    26.8";"    13.9"
"1352";"A050412";"1013800";"2014JJ00";"    72.9";"   131.7";"   195.5";"    48.6";"    31.5";"    0.69";"     2.6";"     3.9";"     0.0";"    37.2";"     5.5";"     5.1";"     4.7";"    20.4";"     0.0";"    27.6";"    26.7";"    18.6";"     0.0";"    32.3";"    27.5";"    13.1"
"1353";"A050412";"1013800";"2015JJ00";"    71.4";"   133.1";"   199.0";"    49.2";"    31.9";"    0.69";"     2.6";"     3.9";"     0.0";"    36.5";"     5.5";"     5.2";"     4.9";"    19.4";"     0.0";"    26.6";"    26.8";"    18.1";"     0.0";"    31.5";"    27.4";"    12.5"
"1354";"A050412";"1013800";"2016JJ00";"    71.8";"   132.9";"   204.5";"    50.7";"    32.8";"    0.67";"     2.5";"     3.8";"     0.0";"    37.6";"     5.6";"     5.5";"     5.3";"    17.9";"     0.0";"    27.3";"    27.6";"    16.9";"     0.0";"    32.3";"    27.9";"    11.5"
"1355";"A050412";"1013800";"2017JJ00";"    72.3";"   135.0";"   217.9";"    53.4";"    34.1";"    0.64";"     2.4";"     3.8";"     0.0";"    39.5";"     6.2";"     5.9";"     5.8";"    14.9";"     0.0";"    28.4";"    28.2";"    15.7";"     0.0";"    33.2";"    28.4";"    10.7"
"1356";"A050412";"1013800";"2018JJ00";"    72.2";"   136.1";"   233.9";"    54.9";"    34.8";"    0.61";"     2.4";"     3.7";"     0.0";"    42.4";"     6.6";"     6.4";"     5.7";"    11.2";"     0.0";"    28.7";"    28.9";"    14.6";"     0.0";"    33.4";"    28.9";"     9.9"
"1357";"A050412";"1013800";"2019JJ00";"    71.6";"   135.7";"   252.9";"    56.9";"    36.5";"    0.56";"     2.3";"     3.6";"     0.0";"    46.5";"     7.0";"     6.2";"     4.9";"     7.0";"     0.0";"    29.9";"    28.7";"    13.0";"     0.0";"    35.0";"    28.2";"     8.5"
